Name	meiotic_1_quant	meiotic_2_quant	veg_cells_1_quant	veg_cells_2_quant
YNL240C	21.3536	30.1668	11.2215	4.94041
YGR161W-C	270.764	305.948	26.9231	11.7339
YCR063W	25.3165	25.9992	6.24589	5.62575
YGR161C-D	2.35029	2.84108	1.4995	1.31029
YBR140C	10.0773	7.06346	1.40104	1.76487
YCR023C	9.26565	9.04877	8.19658	5.25434
YGR162W	32.6615	32.0256	27.2706	27.0329
YNR021W	35.5382	35.732	38.7224	51.4767
YHR007C	387.286	559.85	190.967	323.026
YLR462W	0.0	0.476431	0.0	0.0
YGR164W	4.9482	4.31774	0.611771	0.525447
YMR168C	6.57513	7.55134	5.397	2.7066
YGR165W	29.4387	33.4456	43.0184	18.8293
YOR303W	264.437	273.846	56.2257	26.6332
YNL165W	10.866	11.0914	3.54213	2.93053
YML063W	742.06	748.822	2095.34	1822.98
YDR242W	28.2698	23.7589	3.53934	1.19048
YGR167W	40.2285	37.7991	20.1195	28.5993
YPL085W	4.29903	3.26314	1.34286	2.50779
YNL300W	1.1945	0.673401	37.6617	83.9036
YDL058W	7.01532	5.14055	2.96994	3.41995
YGR169C-A	341.081	447.701	333.173	242.891
YNL121C	21.7405	20.6684	23.4052	22.2514
YGR172C	23.7276	20.2465	19.5881	29.9359
YGR173W	46.1683	51.2485	44.852	31.0574
YLR293C	219.898	146.0	107.062	253.917
YIL021W	51.863	55.2988	57.1406	33.8084
YOL151W	6.81269	7.95895	3.29266	2.7657
YFR053C	82.7914	79.9602	0.796248	5.24958
YJR057W	20.4141	20.9029	38.1607	18.754
YGR174W-A	39.4885	25.0445	0.0	0.0
YGR284C	47.988	46.4751	41.6515	31.723
YMR183C	16.7978	19.2078	35.2237	37.7834
YGR179C	11.5258	11.7424	9.75586	6.07038
YGR184C	17.3543	14.6466	3.05885	3.59856
YGR185C	68.6875	66.9596	49.0675	57.4761
YJR107W	9.50823	7.68425	3.3221	2.48206
YBR029C	53.4576	45.0209	12.8104	12.1156
YGR191W	40.3562	41.8541	18.4738	21.3142
YGR192C	294.464	267.054	1993.78	3264.72
YGR193C	20.4529	19.1412	10.4374	10.876
YIL099W	8.81312	10.2223	0.249836	0.174217
YGR194C	4.8535	5.47163	1.89562	1.33495
YOL110W	17.506	22.0864	2.88962	2.62827
YIR022W	51.7835	55.4152	53.1311	40.0104
YIL075C	38.5039	41.4205	16.86	14.5764
YGR198W	24.1331	21.353	9.97151	8.6318
YGR204C-A	28.684	27.288	15.1011	0.0
YJR115W	75.2896	83.5198	6.39003	15.9475
YGR281W	15.2003	12.8534	2.97466	3.54624
YGR205W	16.4024	16.3852	3.18143	1.50074
YDR404C	68.7745	77.2797	67.609	42.4845
YHL009C	18.3923	19.1878	8.22187	7.00171
YJR145C	406.542	484.147	1247.07	1217.94
YGR206W	99.1694	127.823	63.1351	77.3135
YOR068C	3.7462	3.1679	0.0	0.427871
YJR143C	13.6695	16.7289	15.167	19.8169
YHR214C-B	1.07506	1.07086	0.39268	0.0
YGR217W	8.35254	6.86446	1.62394	1.66954
YPR191W	92.1788	99.1183	21.8011	14.6096
YBR289W	9.75505	8.18403	4.03102	3.82232
YJL148W	160.687	177.598	221.121	102.076
YGR218W	35.6875	36.8194	11.3874	11.4173
YGR225W	8.46162	8.53605	0.36149	0.424549
YLR271W	13.2875	14.2635	6.79263	4.02971
YGR227W	11.1253	9.7831	3.97266	5.75476
YOR145C	285.268	276.955	153.037	101.662
YNL095C	4.03704	4.08705	3.92337	3.38957
YHR111W	18.5163	18.7325	19.2868	9.39548
YIL094C	134.374	156.325	122.379	52.2919
YPL051W	33.7566	34.7376	19.1517	12.7692
YGR227C-A	171.379	100.273	111.193	124.061
YNL020C	9.27565	9.93611	1.83593	1.5119
YGR233C	33.8806	27.7431	2.5095	1.94163
YIL065C	58.7386	66.7293	26.4734	18.4606
YHR199C	40.8546	45.2119	10.8396	11.4274
YGR236C	183.119	216.71	5.65312	2.95655
YHL045W	0.080703	0.10447	0.29741	0.0
YGR240C	39.2372	39.5548	28.5031	42.1035
YHL047C	100.765	100.542	2.74669	0.68045
YGR241C	9.57574	9.51598	3.98102	4.74304
YGR243W	239.802	262.655	7.32502	4.46944
YBR040W	1.50361	1.23273	0.675753	0.125659
YER131W	498.496	541.082	562.607	625.886
YHL048C-A	0.0	0.0	0.0	0.0
YIL112W	12.6937	10.2413	4.42747	3.27697
YGR247W	18.6455	19.9367	19.349	8.73556
YNL115C	20.3621	22.5476	3.00989	1.90587
YGL035C	26.5287	29.9822	6.31337	6.74832
YJL222W	12.8651	13.4768	6.23649	4.26088
YGR251W	34.3738	42.7039	54.2776	18.2391
YGR255C	9.74324	11.3998	7.69557	6.2212
YKR070W	14.1173	15.6066	13.9072	10.0998
YBR041W	27.116	24.8131	7.88307	7.96844
YGR256W	4.83949	5.02028	0.260881	0.099229
YDR287W	12.7629	14.7615	3.33644	1.93882
YGR257C	16.0043	16.1509	11.5425	6.73529
YMR305C	8.57118	9.1055	18.8191	35.5251
YGL002W	32.1497	38.0781	21.6607	12.1648
YGR260W	35.4309	35.2467	19.6396	18.8403
YHR072W-A	10832.3	10593.4	9990.7	8083.86
YHR048W	7.77485	10.1137	6.39219	4.08076
YGR261C	11.1636	12.3449	12.2072	9.45406
YLR445W	7.13576	7.37397	0.275844	0.384706
YGR267C	86.5911	85.7333	85.0236	61.8193
YGR271W	4.25257	3.8176	2.03115	1.89089
YPL008W	8.53897	8.59583	5.35286	4.26344
YER102W	597.048	694.126	1672.63	1479.81
YGR273C	3.39377	3.48398	0.211982	0.14782
YOL039W	732.598	695.474	1763.45	2469.45
YGR276C	33.9951	37.0993	19.7551	10.9975
YKL008C	41.5489	38.8494	28.337	37.2597
YGR175C	355.462	436.058	180.921	205.775
YDL182W	27.6258	31.1441	23.8149	8.67197
YGR277C	30.4884	39.4312	21.337	14.0573
YPL122C	14.8696	14.5361	8.59535	8.46363
YDR261W-B	1.67141	1.62723	0.535025	0.546225
YGR278W	9.98245	11.1546	2.39622	2.68447
YHL035C	19.8857	15.5271	0.933183	0.28722
YGR285C	81.4604	65.8019	54.4992	82.074
YBR138C	3.5099	3.21037	4.6196	2.66913
YGR287C	14.6263	11.1198	2.97858	1.28036
YGR295C	13.8938	15.1215	1.71815	1.86019
YBR217W	29.4752	34.8876	31.2094	14.2473
YHL050C	1.41158	1.16735	0.314041	0.176843
YHL049C	8.09576	7.95924	1.77157	0.62596
YPL152W	20.7055	20.2771	7.8596	4.71881
YML131W	3.89865	4.02834	2.5779	1.10255
YDR453C	14.0093	11.0768	8.63313	7.86786
YDR266C	33.7112	26.8292	13.0902	13.0715
YIR007W	4.72619	4.63845	0.755412	0.655976
YHR157W	22.2199	21.8263	2.04715	1.08764
YHL040C	57.8525	60.9619	3.99574	1.99024
YHL039W	33.1421	29.5683	23.7935	16.8209
YHL037C	3.12206	1.74907	0.19176	0.267438
YLR025W	54.8963	58.0946	23.355	18.9073
YHL036W	64.7293	63.4796	1.96971	3.38999
YNL077W	101.335	108.968	1.48245	1.3682
YHL034C	51.5656	49.2615	28.2754	32.0724
YHL033C	176.142	173.937	335.946	449.381
YOR355W	44.3611	37.361	18.7393	19.5702
YHL030W	6.00315	4.5555	1.58333	1.5556
YPL153C	4.40432	4.38465	2.48596	1.90779
YBL014C	8.77322	8.97354	6.02102	3.67274
YHL029C	31.1994	28.5419	7.19731	7.97115
YHL027W	39.5072	36.6848	7.08993	6.84169
YKL206C	33.7212	38.029	20.6768	17.2435
YHL026C	8.07918	7.80458	5.8462	5.88211
YKL188C	6.05164	6.29846	2.23145	1.77583
YHL025W	38.3739	50.6107	48.9164	28.5477
YHL023C	7.279	5.85095	1.67935	1.70675
YGR246C	16.537	16.3344	8.73857	6.43657
YHL021C	36.3424	33.7763	1.95501	2.72656
YDR354W	17.6961	16.0653	17.9846	13.3378
YJL030W	32.008	37.5259	23.4206	15.7357
YHL019C	5.62926	6.65414	2.89988	2.56659
YHL017W	18.2047	16.7963	13.6122	9.52231
YHL015W-A	0.0	0.0	0.0	0.0
YLR316C	8.26122	8.47661	17.8777	8.42412
YHL015W	1965.71	2295.17	5225.18	4754.36
YBR255C-A	71.3927	71.292	10.0597	11.8714
YBR302C	1.42991	1.40894	0.721976	0.298548
YHL013C	29.3838	26.4132	28.5853	19.4809
YHL009W-B	0.0	0.0	0.0	0.0
YHL009W-A	0.0	0.0	0.0	0.0
YJR019C	9.91618	11.926	2.29536	3.20124
YHL008C	1.89744	1.86342	0.178381	0.149268
YHL007C	12.8117	9.93091	5.56865	6.65911
YHL004W	7.58777	8.27807	7.1388	10.4779
YDL003W	2.54556	2.31969	22.9203	13.4755
YGL005C	32.1731	31.5766	24.1578	11.7129
YJL095W	8.50991	6.21903	1.23913	1.4369
YGL107C	11.1505	10.8185	8.22197	5.38482
YHL003C	19.1955	18.5335	43.6621	33.477
YHR001W-A	1898.21	1814.85	762.561	611.654
YNR031C	11.5309	9.42465	3.27828	3.45847
YDR017C	24.7984	23.0697	7.49019	6.86145
YCR024C	13.8685	13.0813	3.69976	2.38148
YHR002W	33.0286	33.7437	7.81747	5.47599
YER018C	19.678	24.6349	5.39509	6.54709
YHR003C	22.0317	26.2097	30.0724	21.1852
YGL249W	5.82387	5.95158	0.695829	0.398958
YHR004C	28.853	31.026	6.75923	7.19117
YHR005C	11.4748	10.5216	1.62069	0.765024
YMR078C	4.53099	4.46026	4.63174	3.991
YHR129C	5.31359	5.2878	6.92454	4.76129
YLR100W	58.0341	66.7711	85.9741	53.0915
