Name	Hy2489_1_quant	Hy2489_2_quant	P6_1_quant	P6_2_quant
NCU09245	8.51646	5.35003	6.13617	6.86988
NCU09247	40.0005	22.6094	31.9529	39.8501
NCU09250	42.8848	136.734	46.0418	56.813
NCU05572	0.0	0.0	1.11541	1.52494
NCU02552	90.7379	52.719	84.0426	95.2724
NCU07621	5.9831	7.96432	62.0393	75.4706
NCU09259	7.28772	6.85009	23.4335	28.9252
NCU09261	18.3059	3.70183	3.60453	3.87392
NCU09672	3.40946	2.86298	294.114	382.367
NCU01511	56.1396	125.046	18.6993	16.0121
NCU09654	28.1896	7.30031	10.354	11.71
NCU09264	21.3947	22.8963	11.4818	15.8757
NCU09265	102.227	121.115	155.22	160.57
NCU08941	41.6414	36.8531	30.0557	35.5189
NCU09266	200.131	119.883	41.1575	39.3353
NCU09268	5.00077	4.1412	0.579317	0.950871
NCU11053	68.2707	95.1791	11.2617	8.82387
NCU09901	33.0385	14.3242	20.2003	26.5256
NCU04563	0.0	0.0	1.81548	1.46872
NCU05457	760.106	1252.66	309.405	300.573
NCU09640	0.0	0.192591	0.333344	0.328453
NCU07492	8.42017	18.7557	7.22357	8.68997
NCU02712	76.9608	64.7096	24.4999	25.4819
NCU03582	0.0	0.0	0.0	0.868712
NCU08504	40.8621	33.1446	12.1133	15.1398
NCU02765	574.965	471.907	736.283	856.942
NCU16492	1.18949	1.1479	24.0874	27.3441
NCU01050	128.699	56.8948	3.60014	7.12755
NCU01680	446.025	991.242	550.536	778.011
NCU16491	10.2489	8.30118	39.7221	46.0497
NCU12151	29.6645	208.217	83.6274	93.8082
NCU01666	399.739	244.53	147.494	174.131
NCU02769	0.96108	0.0	0.902428	4.31146
NCU03787	14.4972	14.3121	6.81936	9.49705
NCU09177	0.0	0.0	18.4444	17.276
NCU02770	18.7935	19.2596	7.82441	11.2346
NCU02774	1.25579	1.49609	2.15112	1.73562
NCU06632	251.509	185.227	38.4577	48.8468
NCU02776	17.8292	11.3509	9.08435	10.8608
NCU03623	43.4808	69.8266	92.5399	98.4673
NCU16676	61.6816	56.5402	28.0393	28.4868
NCU02779	1.43542	6.47457	6.16564	5.36361
NCU10274	0.0	0.0	0.0	0.0
NCU10239	2.73793	5.50669	3.28589	3.06528
NCU04578	60.5547	50.3513	10.9478	9.44593
NCU03580	0.0	0.0	0.0	0.0
NCU09830	5.95377	9.15984	13.5558	16.1547
NCU01772	33.1241	23.0347	17.8438	20.0825
NCU08500	700.855	1267.3	234.744	286.326
NCU01974	102.482	43.5553	27.0945	27.964
NCU09233	24.8707	22.8439	19.9106	21.9849
NCU02793	8.52811	8.63435	23.931	23.8128
NCU09839	86.4367	35.7664	5.6538	7.25467
NCU04510	676.904	387.824	72.9996	67.3306
NCU06667	0.0	0.229309	0.800446	3.88066
NCU10987	2.99589	9.58441	27.4781	28.576
NCU02797	266.005	619.967	181.708	166.117
NCU05358	0.277158	0.655927	154.773	165.497
NCU01153	0.0	0.0	0.0	1.96074
NCU01944	7.78088	8.25643	33.055	38.8383
NCU04241	45.8091	42.3889	25.2044	29.4149
NCU00581	41.7778	73.0765	15.0546	12.6745
NCU09390	3.68077	4.4255	3043.01	3547.54
NCU07847	0.0	0.0	0.0	0.0
NCU02800	91.4071	89.6517	57.404	69.8109
NCU05114	2.63672	2.2587	5.70346	7.16004
NCU01550	135.582	213.373	78.2177	90.338
NCU01530	0.0	0.0	0.0	1.32471
NCU17055	13.2278	8.15254	17.9849	25.8836
NCU08905	0.804345	1.06809	3.20409	3.60686
NCU08149	4.42524	5.17623	9.09406	16.4114
NCU02802	19.1467	46.4102	702.089	882.296
NCU06515	19.6773	22.8874	35.1513	30.8756
NCU05820	35.9556	16.7306	23.1182	26.9813
NCU07997	125.545	93.3533	242.535	283.768
NCU02817	0.381596	0.0	62.7926	85.5928
NCU02819	162.048	119.072	123.047	177.819
NCU01025	0.797023	0.300666	154.349	319.123
NCU08006	22.402	22.5104	10.0752	13.7719
NCU16511	18.3465	40.1418	16.7895	16.3569
NCU16332	0.168572	0.06685	0.139168	0.513997
NCU00976	0.185679	0.073704	0.384045	0.662102
NCU03187	11.7188	10.989	9.2318	11.4448
NCU02826	26.0573	29.0634	57.4596	73.4591
NCU06468	6.25137	4.32458	1.66193	2.46786
NCU06277	17.3199	21.852	58.1284	54.2381
NCU02828	30.7271	31.4486	13.5286	19.9141
NCU06614	5.91274	3.69058	8.00571	5.53631
NCU02833	52.6137	35.3235	46.1608	69.4647
NCU01034	1.8001	1.5173	12.8647	15.9515
NCU10152	0.0	0.0	17.1959	11.7006
NCU02838	38.1667	17.8137	12.6182	18.919
NCU01648	29.2871	47.0747	57.3511	56.9886
NCU10035	64.9794	42.2858	36.6473	44.4903
NCU08234	0.0	0.0	0.424542	0.653169
NCU02849	0.502959	3.39824	3.18594	1.1089
NCU02850	4.8835	3.5961	9.04803	7.42585
NCU08359	58.7828	69.9041	97.9149	93.6068
NCU05839	0.180299	0.282836	2.11584	3.15982
NCU01747	16.5269	30.2361	57.0117	69.4072
NCU02855	2.13045	3.50353	16.5998	20.3093
NCU08236	0.0	0.0	0.137279	0.056381
NCU02860	0.0	0.0	14.8884	15.2005
NCU07692	10.635	5.60222	16.4197	26.6239
NCU04329	24.0419	27.0372	51.4149	63.5224
NCU02861	0.0	0.0	1.59016	0.868823
NCU01559	270.112	152.825	169.785	232.558
NCU08078	0.0	0.0	10.997	17.8153
NCU16482	0.130311	0.102916	2.92718	5.33732
NCU00123	0.0	0.0	0.251449	0.308702
NCU06525	5.68936	3.79268	2.15755	2.03222
NCU06824	115.522	29.9732	424.94	586.684
NCU00792	141.154	173.707	49.3286	62.291
NCU02337	42.4064	24.857	10.6651	9.35434
NCU03173	46.8025	61.5742	10.0902	14.8107
NCU02865	0.247587	0.0	16.5656	26.3429
NCU02867	0.0	0.0	2.28197	4.66907
NCU00916	15.5184	19.0325	194.147	211.596
NCU02868	0.0	0.0	1.79917	1.18952
NCU08452	20.7256	14.6552	10.9797	12.6196
NCU09007	1.42476	1.9986	4.70594	6.80984
NCU04036	111.783	251.945	63.1602	45.8681
NCU03562	2.08805	1.9252	239.947	369.045
NCU02876	1.17178	8.63282	7.10663	8.29494
NCU00420	76.697	59.6501	97.7502	106.226
NCU09739	171.506	110.298	6.3643	8.6588
NCU02877	54.8781	26.1162	115.485	133.127
NCU04735	0.134375	0.120923	14.018	16.8672
NCU03481	0.146996	0.259019	9.46958	10.3948
NCU02882	12.925	29.564	11.7116	9.07876
NCU03083	17.7709	33.6935	97.5768	103.289
NCU01977	397.202	214.52	30.9423	27.6822
NCU02884	5490.09	2790.72	142.88	171.302
NCU02886	407.164	230.294	494.5	548.932
NCU05657	0.0	0.0	0.0	0.0
NCU04063	112.127	124.17	76.4169	93.3731
NCU07334	7.97359	22.0127	70.2571	142.054
NCU02888	30.5553	78.2555	44.8604	53.218
NCU08686	26.6831	17.4438	100.465	137.922
NCU16634	106.854	57.0755	120.298	126.176
NCU08781	0.852557	0.323349	0.0	0.454953
NCU01553	27.0464	44.057	7.94712	7.76284
NCU02889	0.155701	0.0	23.3282	32.7382
NCU06565	23.7718	19.5327	15.3269	17.8904
NCU17282	0.0	0.568364	200.493	287.3
NCU01180	109.097	34.3932	40.4992	50.6352
NCU01668	31.8517	25.7788	37.4969	46.4528
NCU02890	69.2325	61.2182	73.8786	118.122
NCU02895	201.623	139.663	12.3182	12.2004
NCU00911	94.7808	115.608	44.1946	48.7431
NCU06861	3.463	13.6011	10.5138	8.4246
NCU03552	6.69308	10.1564	94.4048	104.639
NCU02406	49.7476	27.9945	7.26953	9.39306
NCU01651	25.7806	6.75329	6.18766	7.58107
NCU02359	37.774	29.6801	25.8779	33.5105
NCU16617	0.139621	0.0	0.116322	0.715731
NCU02896	69.8204	32.2561	14.4584	15.1916
NCU00314	0.129402	0.102212	0.861149	2.78222
NCU03041	16.623	14.8202	4.24904	4.7708
NCU08744	516.194	374.942	246.453	266.437
NCU04770	1029.4	655.052	386.021	460.061
NCU02902	0.0	0.0	20.5897	32.2831
NCU02905	614.725	1220.51	262.023	319.738
NCU04862	1.55	3.55537	2.34411	3.75543
NCU01699	1.30496	1.96953	2.15154	2.79066
NCU02908	0.0	0.0	4.49739	4.85675
NCU04092	63.0042	71.3368	28.248	35.5295
NCU03611	71.3752	78.3519	241.302	269.106
NCU09768	0.0	0.0	9.45313	9.43747
NCU01655	157.397	119.069	52.8433	68.5943
NCU04528	1225.14	1542.83	149.674	187.381
NCU16473	2.00549	0.0	93.1946	102.076
NCU05454	111.466	161.514	47.2912	53.9444
NCU09163	0.0	2.38084	3.67284	6.70792
NCU00172	21.7424	16.1987	13.8059	17.6029
NCU02914	0.456135	0.121417	4.45862	5.95596
NCU02915	8.49562	8.71168	17.9778	17.0597
NCU05221	158.741	227.991	70.4498	69.6113
NCU09855	0.287903	0.340427	11.8807	15.6533
NCU08388	25.8152	29.8445	51.7899	67.8609
NCU02989	15.1042	17.4218	5.91556	3.74773
NCU03170	65.6502	44.2085	12.657	16.2383
NCU03294	0.513391	0.88397	5.02071	4.44158
NCU08610	28.7848	84.1013	22.0735	25.346
NCU10933	33.0311	30.2335	37.3997	46.0609
NCU09761	1.38541	32.3658	10.9784	12.09
NCU02930	4.43267	3.81514	278.304	325.135
NCU02932	113.389	261.875	934.682	768.144
NCU03482	57.0419	52.7459	17.6263	17.0988
NCU02872	0.0	0.0	0.51309	1.4748
NCU08548	0.0	0.0	0.442363	0.544084
NCU02934	10.0389	9.54105	14.3747	18.3015
NCU07401	55.7491	39.9013	15.054	16.2353
NCU00134	40.2647	33.0235	21.5449	25.6719
NCU06088	27.7389	14.6986	7.66835	7.59231
NCU04531	3.47204	3.55845	24.7125	27.2302
NCU02937	14.1485	14.6315	5.90058	8.6218
NCU05834	0.0	0.866793	7.49334	8.08676
NCU02944	12.1204	10.819	15703.0	18840.3
NCU06821	56.2335	46.6683	63.912	65.5286
NCU02947	9.5573	1.01703	1.28163	3.37584
NCU16343	2.90742	1.93256	4.15177	3.32805
NCU02949	27.2555	24.085	5.58302	3.65853
NCU08937	2.95147	0.701372	2.77745	9.93979
NCU07821	0.0	0.989907	0.905104	1.9325
NCU02950	43.072	37.0783	83.1643	68.9124
NCU01498	130.939	140.873	59.1321	76.0151
NCU02953	0.0	0.0	0.0	0.0
NCU03372	54.9816	11.8267	5.11746	4.18078
NCU06833	0.655932	0.741642	1.12419	1.27432
NCU02954	66.8954	126.63	23.9203	31.9082
NCU04459	81.3718	48.1539	29.3294	38.3901
NCU02955	40.9162	61.6779	19.195	22.7031
NCU02960	98.5308	105.857	190.977	192.7
NCU02962	24.9689	24.4828	3.93923	5.46123
NCU00912	42.3795	26.5405	67.5611	46.0005
NCU10006	4.77921	3.86517	28.5199	23.8924
NCU01340	862.664	568.264	15.254	17.2434
NCU02966	54.0548	31.7374	9.95831	10.4056
NCU02049	6.84041	5.45068	6.26477	9.18946
NCU01610	24.3161	18.2232	2.04273	5.57544
NCU01551	73.074	163.531	44.792	52.3199
NCU02967	39.3738	50.464	29.6305	38.3779
NCU05569	25.938	15.4775	28.1358	35.0504
NCU09621	17.9451	27.8884	40.3244	35.6426
NCU07648	0.0	0.103907	3.66523	6.49007
NCU05191	2.2282	1.59753	2687.4	2828.35
NCU02973	46.5978	30.2835	19.9308	26.2384
NCU16370	92.7063	180.995	8.73083	8.79564
NCU09699	27.4668	43.5591	29.748	44.8225
NCU02974	10.3974	12.0443	5.37379	7.14459
NCU02980	47.1516	28.7058	31.412	35.9621
NCU03870	82.6125	68.2352	98.9856	108.419
NCU07209	0.0	0.236851	0.376422	0.154385
NCU00330	49.4137	33.4288	14.447	17.0328
NCU05208	17.3355	19.7791	5.84669	8.12372
NCU07050	2.1872	7.78144	0.612957	0.604232
NCU04117	18.6705	25.6676	14.8572	17.6754
NCU11085	66.6382	62.9831	26.9209	28.2563
NCU09152	830.579	653.015	237.479	243.094
NCU02982	254.48	275.666	96.0738	118.3
NCU02983	19.893	12.8602	12.33	15.4154
NCU00392	5.99411	10.3575	11.4358	18.9151
NCU02984	61.5379	86.3923	57.488	72.7383
NCU01270	2.74573	2.9346	412.944	640.419
NCU05245	23.3576	17.0911	38.8577	37.7365
NCU04225	75.2347	65.3273	27.539	30.3857
NCU02988	9.26635	21.1187	28.273	29.4722
NCU00848	0.854449	1.40677	1.8009	2.86842
NCU09606	5.07807	1.10992	34.7247	61.3785
NCU02997	27.7398	32.4123	15.8038	17.9122
NCU07348	0.0	0.0	3.83584	6.43509
NCU02847	0.0	0.0	5.91255	4.47775
NCU03004	162.254	280.625	99.2509	113.814
NCU00992	15.7591	9.19878	40.2239	46.1365
NCU05350	0.0	0.141472	5.37541	5.16894
NCU03011	2.05766	0.820844	7.19689	10.4899
NCU03014	0.0	0.0	0.0	0.0
NCU00424	18.3468	19.5984	13.845	17.3316
NCU16599	1.39838	0.494442	5.25858	4.89728
NCU07839	372.874	174.327	102.413	155.095
NCU03016	3.5623	21.3652	0.816663	0.502618
NCU07164	4.52314	2.96849	4905.52	4804.2
NCU07647	0.0	0.411765	0.981588	0.598754
NCU03017	0.0	0.137935	6.32922	7.42381
NCU03018	83.4963	33.7421	9.6892	12.0458
NCU05671	0.0	0.0	0.0	0.306173
NCU03368	931.114	1120.8	420.141	443.751
NCU03021	31.7644	17.9166	14.9135	18.9174
NCU03500	99.5703	58.7357	455.687	566.391
NCU03026	1.06874	2.95289	1.89038	2.18967
NCU03029	13.6636	26.3903	8.81472	8.09141
NCU00091	15.793	16.7942	10.0021	13.3234
NCU05177	0.0	0.0	0.0	0.0
NCU10038	20.3993	35.014	3.98969	4.49016
NCU12112	11.2404	13.0016	8.81015	14.2717
NCU08671	61.1735	95.5038	25.3525	31.6972
NCU01396	0.0	0.0	1.02933	1.22305
NCU03034	0.0	0.0	0.0	0.0
NCU01854	98.1132	146.991	121.512	131.873
NCU03038	779.363	1392.22	306.453	361.269
NCU06871	128.679	158.666	216.924	307.263
NCU03096	15.5808	7.61358	32.2962	34.6758
NCU03040	9.72869	9.30549	4.52705	7.59805
NCU03042	37.7355	23.2151	9.08247	13.1457
NCU03555	11.2572	11.0381	15.1531	19.3815
NCU03045	17.0948	27.2454	31.5647	36.6388
NCU11241	67.3621	47.4025	65.084	71.4174
NCU02775	26.4545	29.3176	40.0844	49.8805
NCU03864	3.49839	0.823806	12.3063	18.7403
NCU07801	0.0	0.0	1.27587	2.04073
NCU05908	0.933526	3.32444	0.205023	0.757757
NCU03888	268.21	194.021	367.205	440.775
NCU11240	50.9124	29.0318	38.8916	53.0571
NCU01850	77.3892	42.9397	37.8823	35.0186
NCU03048	81.2966	40.3748	33.8382	42.7309
NCU08706	7.93122	3.13829	11.6151	15.1084
NCU07276	17.6766	13.5528	34.9976	49.0008
NCU02883	338.137	260.765	189.075	122.149
NCU08963	224.109	813.521	172.223	216.111
NCU09310	69.4412	37.4315	37.7209	42.1043
NCU07601	0.0	0.0	0.883999	0.846372
NCU03316	51.8478	45.0227	58.1129	65.3427
NCU02278	27.4492	44.3136	48.8164	44.4334
NCU03576	46.7787	36.0939	31.0302	39.2961
NCU10429	0.0	1.66212	0.496068	1.21013
NCU06977	529.113	316.138	998.062	955.773
NCU01792	208.371	384.388	344.301	367.001
NCU09908	0.0	0.0	0.156598	0.962887
NCU05123	84.2704	38.3698	9.87953	11.7133
NCU05480	0.0	0.179697	1.16918	2.63424
NCU09826	74.1134	78.712	29.9642	34.3583
NCU08420	17.2827	19.242	10.8356	14.278
NCU00499	127.415	219.214	68.0278	77.3104
NCU07038	0.0	0.0	6.8132	7.66239
NCU05567	0.786084	4.65964	5.91382	9.96184
NCU00502	248.169	472.219	195.796	196.817
NCU04052	1.31542	7.68644	3.39321	4.17619
NCU01353	32.8075	65.0014	3.59267	5.22533
NCU03303	32.3687	49.6084	34.5604	38.5411
NCU09243	356.992	218.391	317.762	394.593
NCU00505	342.022	226.485	70.1546	90.6965
NCU00515	47.3973	38.3343	87.7598	99.1374
NCU02631	30.0638	17.122	3.58951	3.87836
NCU07146	0.0	0.0	0.061182	0.71632
NCU00517	47.6265	26.987	12.8718	16.1721
NCU00518	113.467	145.164	41.1431	48.24
NCU00519	82.4832	155.976	37.873	38.2883
NCU00521	141.414	202.153	290.79	347.236
NCU06822	0.582702	0.184432	10.6434	15.3654
NCU06797	0.0	0.0	0.0	0.0
NCU03382	0.0	0.0	0.0	0.0
NCU04590	31.0152	39.757	33.9186	52.0179
NCU00526	4.26014	1.80926	2.63485	3.75058
NCU08295	84.7288	51.9135	70.8163	90.2489
NCU04347	15.4677	24.6474	42.2336	38.4528
NCU08882	425.681	295.126	23.5065	27.7142
NCU10468	358.184	234.661	28.5457	34.7383
NCU04603	1462.04	296.805	576.941	542.169
NCU01829	32.9259	14.1181	7.06539	8.37505
NCU06897	0.0	0.0	5.05967	8.57924
NCU06475	0.540896	0.141418	0.151131	0.743487
NCU00528	25.2764	20.1529	29.9795	38.7406
NCU00533	0.0	0.317399	3.41425	4.1977
NCU11409	32.1862	14.2745	3.13226	4.18229
NCU09496	71.3401	58.1643	33.8431	37.6931
NCU03345	27.6777	10.5287	7.47959	7.7348
NCU09285	744.306	1161.35	95.1709	80.7325
NCU00536	37.9514	51.5998	15.1466	20.2857
NCU09560	423.873	990.458	249.753	233.178
NCU04795	31.9288	30.3099	213.385	227.103
NCU07355	7.9127	5.2764	14.0457	15.9876
NCU09653	6.90646	3.91081	11.0582	14.1439
NCU02376	9.48273	29.0599	29.6951	32.139
NCU11159	29.5185	21.494	5.70197	6.90456
NCU10376	19.3003	12.3291	9.89024	19.0742
NCU09242	0.6771	0.520147	14.8328	8.57055
NCU00537	101.375	134.336	151.219	151.218
NCU00541	216.383	301.37	178.348	183.403
NCU08641	635.272	282.503	124.807	129.598
NCU00542	28.7104	28.4669	103.745	106.046
NCU06050	9.89636	14.0376	8.91783	11.6843
NCU03373	0.0	0.0	0.0	1.22305
NCU03387	45.4174	55.8537	20.2682	22.3285
NCU00006	26.9556	23.7872	72.1119	90.8794
NCU06780	40.6375	32.9562	3.9883	5.96314
NCU00548	10.4408	24.8343	20.9533	25.3131
NCU08962	56.3084	62.0117	110.31	151.307
NCU01758	50.9949	44.0435	11.7664	15.4618
NCU06746	163.934	182.005	108.56	118.534
NCU11186	12.2638	25.2105	11.5314	13.4241
NCU00553	56.2821	53.7183	50.1471	54.0047
