Name	P6_1_quant
NEUTE1DRAFT_55260	20.6518
NEUTE1DRAFT_97121	0
NEUTE1DRAFT_119196	0
NEUTE1DRAFT_126759	37.7097
NEUTE1DRAFT_115267	85.8702
NEUTE1DRAFT_74055	18.2817
NEUTE1DRAFT_133837	4.83561
NEUTE1DRAFT_92746	47.8441
NEUTE1DRAFT_133833	30.7698
NEUTE1DRAFT_106358	0
NEUTE1DRAFT_106357	0
NEUTE1DRAFT_119189	2.62492
NEUTE1DRAFT_150750	4.21582
NEUTE1DRAFT_119188	127.692
NEUTE1DRAFT_92721	9.74131
NEUTE1DRAFT_74017	112.519
NEUTE1DRAFT_106349	0
NEUTE1DRAFT_54400	8.5478
NEUTE1DRAFT_92702	9.16015
NEUTE1DRAFT_92698	9.93842
NEUTE1DRAFT_51763	2.18696
NEUTE1DRAFT_53579	1.12502
NEUTE1DRAFT_126735	8.57619
NEUTE1DRAFT_150964	17.451
NEUTE1DRAFT_115241	605.986
NEUTE1DRAFT_56059	0
NEUTE1DRAFT_126731	39.7028
NEUTE1DRAFT_126722	17.869
NEUTE1DRAFT_73964	14.6076
NEUTE1DRAFT_106318	1.5892
NEUTE1DRAFT_92658	17.9371
NEUTE1DRAFT_106316	0.286686
NEUTE1DRAFT_133803	1.96171
NEUTE1DRAFT_106523	0.147532
NEUTE1DRAFT_51252	6.97105
NEUTE1DRAFT_92636	98.8168
NEUTE1DRAFT_73932	24.4879
NEUTE1DRAFT_92629	384.372
NEUTE1DRAFT_51131	1.37177
NEUTE1DRAFT_106297	14.7382
NEUTE1DRAFT_92625	21.6473
NEUTE1DRAFT_93180	53.0679
NEUTE1DRAFT_51277	12.9216
NEUTE1DRAFT_28473	0
NEUTE1DRAFT_106292	9.8724
NEUTE1DRAFT_92606	19.0077
NEUTE1DRAFT_92604	211.124
NEUTE1DRAFT_150703	73.0233
NEUTE1DRAFT_150701	12.7423
NEUTE1DRAFT_119171	46.4504
NEUTE1DRAFT_92583	42.9351
NEUTE1DRAFT_150697	64.7552
NEUTE1DRAFT_126683	11.9772
NEUTE1DRAFT_126682	187.363
NEUTE1DRAFT_54132	25651
NEUTE1DRAFT_150688	31.121
NEUTE1DRAFT_92554	53.0797
NEUTE1DRAFT_126677	9.16386
NEUTE1DRAFT_133765	57.3028
NEUTE1DRAFT_53958	27.744
NEUTE1DRAFT_126672	48.2124
NEUTE1DRAFT_73840	393.4
NEUTE1DRAFT_126669	0.409475
NEUTE1DRAFT_51820	3.57656
NEUTE1DRAFT_53374	50.9292
NEUTE1DRAFT_119162	224.121
NEUTE1DRAFT_119160	68.9205
NEUTE1DRAFT_92506	4.65466
NEUTE1DRAFT_133749	3.10448
NEUTE1DRAFT_106244	5.8072
NEUTE1DRAFT_133746	47.6566
NEUTE1DRAFT_115158	34.8472
NEUTE1DRAFT_73801	21.619
NEUTE1DRAFT_115156	13.9003
NEUTE1DRAFT_133744	25.9635
NEUTE1DRAFT_119152	5.55879
NEUTE1DRAFT_92489	2.03683
NEUTE1DRAFT_106233	5.80743
NEUTE1DRAFT_143110	3.24997
NEUTE1DRAFT_150657	58.4962
NEUTE1DRAFT_115147	3.47135
NEUTE1DRAFT_92486	91.871
NEUTE1DRAFT_92484	8.26209
NEUTE1DRAFT_92479	20.5722
NEUTE1DRAFT_133805	41.6726
NEUTE1DRAFT_73778	10.2854
NEUTE1DRAFT_106224	206.786
NEUTE1DRAFT_55115	0
NEUTE1DRAFT_126747	174.61
NEUTE1DRAFT_115139	0.327469
NEUTE1DRAFT_150648	95.9684
NEUTE1DRAFT_133730	265.106
NEUTE1DRAFT_55372	0
NEUTE1DRAFT_17689	5551.03
NEUTE1DRAFT_126631	1473.16
NEUTE1DRAFT_133721	16.7255
NEUTE1DRAFT_73751	78.3658
NEUTE1DRAFT_133717	233.37
NEUTE1DRAFT_92442	166.591
NEUTE1DRAFT_115120	235.287
NEUTE1DRAFT_92433	68.7879
NEUTE1DRAFT_133713	22.7737
NEUTE1DRAFT_92423	157.996
